,Fleiss_kappa
A1d,0.5716402116402111
F1,0.10912476722532656
BN1,0.4888888888888901
BL1,0.31086142322097565
D1a,0.9117505995203836
D1,0.12979506043089997
D1c,0.43305322128851675
CE2,0.5643939393939397
F3,-0.03954802259887094
G1,0.3564702717245072
AN2,0.4257178526841452
DF2,0.16795865633074983
CM6,-0.045454545454547274
F4,0.5878858700944593
CL1,0.03433798170640268
E1,0.4330532212885144
F2,-0.005464480874320195
BL3,0.33798941798941756
A2a,-0.016574585635365638
A1b,0.3564702717245072
A1a,-0.005464480874320195
I1,-0.0039682539682530694
BF4,0.7028423772609823
I2,0.12979506043089897
H2,-0.010989010989001968
BM1,-0.005464480874320195
A1g,-0.005464480874320195
D1b,1.0
L5,0.32600732600733373
N3,-0.005464480874320195
A1f,0.20933087783916082
A1e,0.32600732600733373
K2,0.32600732600732857
BE5,-0.010989010989001968
CE3,-0.010989010989001968
L4,0.10912476722532656
A1,-0.022222222222219788
CM4,-0.016574585635365638
KA1b,0.32600732600732857
CF5,-0.005464480874320195
average,0.2366104477052498
