,intersection2,union,inter2/union
F1,25,54,0.4629629629629629
F2,7,25,0.28
D1a,114,141,0.8085106382978723
A1a,4,11,0.3636363636363636
KA1b,21,31,0.6774193548387096
CL1,167,259,0.6447876447876448
BN1,72,114,0.631578947368421
AN2,38,54,0.7037037037037037
CE2,150,223,0.672645739910314
A1f,8,25,0.32
D1,94,225,0.4177777777777778
BE5,55,126,0.4365079365079365
BL3,74,137,0.5401459854014599
BL2,24,71,0.3380281690140845
CE3,5,46,0.108695652173913
BL1,137,284,0.4823943661971831
BF4,65,134,0.4850746268656716
L4,55,100,0.55
A2a,23,49,0.4693877551020408
A1,0,1,0.0
F3,26,67,0.3880597014925373
A1b,141,168,0.8392857142857143
CF5,19,55,0.3454545454545454
E1,96,147,0.6530612244897959
L5,17,53,0.320754716981132
A1e,5,12,0.4166666666666667
A1d,28,44,0.6363636363636364
F4,112,178,0.6292134831460674
K2,31,54,0.5740740740740741
A1g,17,27,0.6296296296296297
D1c,30,133,0.225563909774436
D1b,3,5,0.6
P3,20,22,0.9090909090909092
N3,14,31,0.4516129032258064
Q1,8,8,1.0
P2,0,2,0.0
K3,2,17,0.1176470588235294
O2,9,9,1.0
O1,4,7,0.5714285714285714
cL1,0,1,0.0
O3,8,9,0.8888888888888888
BK1,31,47,0.6595744680851063
P1,12,13,0.9230769230769232
R1,1,1,1.0
A2c,2,8,0.25
A2b,0,1,0.0
CE1,0,1,0.0
Unnamed: 48,0,4,0.0
sum,0.0,0.0,0.47801438060253126
